,benchmark name,total_inputs,total_outputs,is_completed,automaton build duration (ms),is_automaton_built,find dependencies duration (ms),total_dependent_vars,dependency_ratio
0,ltl2dpa20,3,2,True,33.0,True,2.0,1,0.5
1,TwoCountersInRangeA2,11,8,True,7728.0,True,7.0,3,0.375
2,lilydemo24,4,4,True,21.0,True,1.0,0,0.0
3,OneCounterGuiA9,9,9,True,15417.0,True,11.0,3,0.3333333333333333
4,ltl2dba24,1,1,True,8.0,True,0.0,0,0.0
5,SensorRegister,1,2,True,14.0,True,0.0,2,1.0
6,Sensor,4,6,True,189.0,True,2.0,1,0.16666666666666666
7,lilydemo08,1,1,True,14.0,True,0.0,0,0.0
8,ltl2dba08,5,1,True,41.0,True,0.0,0,0.0
9,TwoCounters2,11,8,True,1700.0,True,10.0,3,0.375
10,TwoCountersInRangeM1,11,8,True,6042.0,True,9.0,3,0.375
11,TwoCounters,6,8,True,72.0,True,8.0,3,0.375
12,TwoCountersRefinedRefined,6,8,True,115.0,True,14.0,3,0.375
13,KitchenTimerV7,4,8,False,,False,,0,0.0
14,OneCounterGuiA5,9,9,True,1076.0,True,6.0,3,0.3333333333333333
15,ModdifiedLedMatrix5X,3,25,True,1397934.0,True,1429.0,10,0.4
16,OneCounterInRange,5,3,True,22.0,True,1.0,1,0.3333333333333333
17,OneCounterInRangeA3,5,3,True,33.0,True,1.0,1,0.3333333333333333
18,TwoCountersRefined,6,8,True,118.0,True,12.0,3,0.375
19,lilydemo04,3,1,True,17.0,True,1.0,0,0.0
20,ltl2dba04,3,1,True,13.0,True,1.0,0,0.0
21,ltl2dpa16,3,2,True,20.0,True,1.0,1,0.5
22,TwoCountersDisButA2,11,13,True,666429.0,True,67.0,4,0.3076923076923077
23,amba_decomposed_shift,2,1,True,12.0,True,0.0,0,0.0
24,ltl2dba12,2,1,True,9.0,True,0.0,0,0.0
25,lilydemo12,2,2,True,13.0,True,0.0,0,0.0
26,lilydemo13,1,1,True,12.0,True,1.0,0,0.0
27,ltl2dba13,3,1,True,22.0,True,0.0,0,0.0
28,UnderapproxDemo2,2,2,True,11.0,True,0.0,1,0.5
29,ltl2dpa01,1,3,True,36.0,True,1.0,1,0.3333333333333333
30,TwoCountersDisButA3,11,13,True,756798.0,True,63.0,4,0.3076923076923077
31,ltl2dba05,4,1,True,12.0,True,1.0,0,0.0
32,Zoo5,3,8,True,32.0,True,3.0,3,0.375
33,ltl2dpa17,3,2,True,23.0,True,1.0,1,0.5
34,OneCounterInRangeA2,5,3,True,26.0,True,0.0,1,0.3333333333333333
35,lilydemo05,3,1,True,20.0,True,1.0,0,0.0
36,01,4,3,True,67.0,True,1.0,0,0.0
37,KitchenTimerV6,4,6,False,,False,,0,0.0
38,OneCounterGuiA4,9,9,True,1748.0,True,10.0,3,0.3333333333333333
39,TorcsSteeringSmart,4,6,True,36.0,True,2.0,2,0.3333333333333333
40,MusicAppSimple,4,3,True,40.0,True,1.0,1,0.3333333333333333
